"Cod_estacao";"ano_hidro";"maxima"
"1";"60435000";1978;NA
"2";"60435000";1979;16.1484
"3";"60435000";1980;28.8768
"4";"60435000";1981;11.1216
"5";"60435000";1982;12.7978
"6";"60435000";1983;25.2523
"7";"60435000";1984;9.2506
"8";"60435000";1985;8.9068
"9";"60435000";1986;10.3737
"10";"60435000";1987;12.4459
"11";"60435000";1988;17.1168
"12";"60435000";1989;10.3166
"13";"60435000";1990;16.8089
"14";"60435000";1991;12.7002
"15";"60435000";1992;12.4316
"16";"60435000";1993;9.3562
"17";"60435000";1994;19.2619
"18";"60435000";1995;9.415
"19";"60435000";1996;5.9965
"20";"60435000";1997;9.6013
"21";"60435000";1998;5.1532
"22";"60435000";1999;6.7846
"23";"60435000";2000;9.1257
"24";"60435000";2001;10.221
"25";"60435000";2002;12.7377
"26";"60435000";2003;5.8747
"27";"60435000";2004;37.4633
"28";"60435000";2005;14.4609
"29";"60435000";2006;11.1322
"30";"60435000";2007;7.3923
"31";"60435000";2008;11.3344
"32";"60435000";2009;NA
"33";"60435000";2010;12.5008
"34";"60435000";2011;12.4031
"35";"60435000";2012;10.7542
"36";"60435000";2013;8.6073
"37";"60435000";2014;11.4632
"38";"60435000";2015;4.9062
"39";"60435000";2016;17.8189
"40";"60435000";2017;6.3478
"41";"60435000";2018;7.8938
"42";"60435000";2019;11.3069
"43";"60435000";2020;NA
"44";"60435000";2021;13.9074
"45";"60435000";2022;2.9357
