"Cod_estacao";"Data";"Vazao"
"1";"60435000";"1978-05-01";NA
"2";"60435000";"1978-05-02";NA
"3";"60435000";"1978-05-03";NA
"4";"60435000";"1978-05-04";NA
"5";"60435000";"1978-05-05";NA
"6";"60435000";"1978-05-06";NA
"7";"60435000";"1978-05-07";NA
"8";"60435000";"1978-05-08";NA
"9";"60435000";"1978-05-09";NA
"10";"60435000";"1978-05-10";NA
"11";"60435000";"1978-05-11";NA
"12";"60435000";"1978-05-12";2.5342
"13";"60435000";"1978-05-13";2.5004
"14";"60435000";"1978-05-14";2.5004
"15";"60435000";"1978-05-15";2.4667
"16";"60435000";"1978-05-16";2.4667
"17";"60435000";"1978-05-17";2.5004
"18";"60435000";"1978-05-18";2.5004
"19";"60435000";"1978-05-19";2.5004
"20";"60435000";"1978-05-20";2.5004
"21";"60435000";"1978-05-21";2.5004
"22";"60435000";"1978-05-22";2.6717
"23";"60435000";"1978-05-23";2.6717
"24";"60435000";"1978-05-24";2.7416
"25";"60435000";"1978-05-25";2.6026
"26";"60435000";"1978-05-26";2.5004
"27";"60435000";"1978-05-27";2.4667
"28";"60435000";"1978-05-28";2.4333
"29";"60435000";"1978-05-29";2.4333
"30";"60435000";"1978-05-30";2.4
"31";"60435000";"1978-05-31";2.7416
"32";"60435000";"1978-06-01";2.637
"33";"60435000";"1978-06-02";2.5342
"34";"60435000";"1978-06-03";2.4
"35";"60435000";"1978-06-04";2.367
"36";"60435000";"1978-06-05";2.3341
"37";"60435000";"1978-06-06";2.3015
"38";"60435000";"1978-06-07";2.269
"39";"60435000";"1978-06-08";2.2368
"40";"60435000";"1978-06-09";2.2368
"41";"60435000";"1978-06-10";2.5004
"42";"60435000";"1978-06-11";2.367
"43";"60435000";"1978-06-12";2.4
"44";"60435000";"1978-06-13";2.3341
"45";"60435000";"1978-06-14";2.2047
"46";"60435000";"1978-06-15";2.1729
"47";"60435000";"1978-06-16";2.1413
"48";"60435000";"1978-06-17";2.1413
"49";"60435000";"1978-06-18";2.1098
"50";"60435000";"1978-06-19";2.0786
"51";"60435000";"1978-06-20";2.0476
"52";"60435000";"1978-06-21";2.0476
"53";"60435000";"1978-06-22";2.0476
"54";"60435000";"1978-06-23";2.0476
"55";"60435000";"1978-06-24";2.0476
"56";"60435000";"1978-06-25";2.0476
"57";"60435000";"1978-06-26";2.0167
"58";"60435000";"1978-06-27";1.9861
"59";"60435000";"1978-06-28";1.9861
"60";"60435000";"1978-06-29";1.9861
"61";"60435000";"1978-06-30";1.9255
"62";"60435000";"1978-07-01";1.9255
"63";"60435000";"1978-07-02";1.9255
"64";"60435000";"1978-07-03";1.9255
"65";"60435000";"1978-07-04";1.8068
"66";"60435000";"1978-07-05";1.8068
"67";"60435000";"1978-07-06";1.8068
"68";"60435000";"1978-07-07";1.8068
"69";"60435000";"1978-07-08";1.8068
"70";"60435000";"1978-07-09";1.8068
"71";"60435000";"1978-07-10";1.8068
"72";"60435000";"1978-07-11";1.8068
"73";"60435000";"1978-07-12";1.8068
"74";"60435000";"1978-07-13";1.8068
"75";"60435000";"1978-07-14";1.8068
"76";"60435000";"1978-07-15";1.7487
"77";"60435000";"1978-07-16";1.7487
"78";"60435000";"1978-07-17";1.7487
"79";"60435000";"1978-07-18";1.8068
"80";"60435000";"1978-07-19";1.8068
"81";"60435000";"1978-07-20";1.8068
"82";"60435000";"1978-07-21";1.8068
"83";"60435000";"1978-07-22";1.8068
"84";"60435000";"1978-07-23";1.8068
"85";"60435000";"1978-07-24";1.8068
"86";"60435000";"1978-07-25";1.8068
"87";"60435000";"1978-07-26";1.7776
"88";"60435000";"1978-07-27";1.7487
"89";"60435000";"1978-07-28";1.7487
"90";"60435000";"1978-07-29";1.7487
"91";"60435000";"1978-07-30";1.6914
"92";"60435000";"1978-07-31";1.6914
"93";"60435000";"1978-08-01";1.6914
"94";"60435000";"1978-08-02";1.6914
"95";"60435000";"1978-08-03";1.6349
"96";"60435000";"1978-08-04";1.6349
"97";"60435000";"1978-08-05";1.6349
"98";"60435000";"1978-08-06";1.6349
"99";"60435000";"1978-08-07";1.6349
"100";"60435000";"1978-08-08";1.6349
"101";"60435000";"1978-08-09";1.607
"102";"60435000";"1978-08-10";1.5793
"103";"60435000";"1978-08-11";1.5793
"104";"60435000";"1978-08-12";1.5518
"105";"60435000";"1978-08-13";1.5246
"106";"60435000";"1978-08-14";1.5246
"107";"60435000";"1978-08-15";1.5246
"108";"60435000";"1978-08-16";1.5246
"109";"60435000";"1978-08-17";1.5246
"110";"60435000";"1978-08-18";1.4706
"111";"60435000";"1978-08-19";1.4706
"112";"60435000";"1978-08-20";1.4706
"113";"60435000";"1978-08-21";1.4706
"114";"60435000";"1978-08-22";1.444
"115";"60435000";"1978-08-23";1.4176
"116";"60435000";"1978-08-24";1.4176
"117";"60435000";"1978-08-25";1.4176
"118";"60435000";"1978-08-26";1.3914
"119";"60435000";"1978-08-27";1.3654
"120";"60435000";"1978-08-28";1.4176
"121";"60435000";"1978-08-29";1.4176
"122";"60435000";"1978-08-30";1.3654
"123";"60435000";"1978-08-31";1.3654
"124";"60435000";"1978-09-01";1.3654
"125";"60435000";"1978-09-02";1.4176
"126";"60435000";"1978-09-03";1.4176
"127";"60435000";"1978-09-04";1.4176
"128";"60435000";"1978-09-05";1.3654
"129";"60435000";"1978-09-06";1.3654
"130";"60435000";"1978-09-07";1.3914
"131";"60435000";"1978-09-08";1.4176
"132";"60435000";"1978-09-09";1.4176
"133";"60435000";"1978-09-10";1.3914
"134";"60435000";"1978-09-11";1.3654
"135";"60435000";"1978-09-12";1.3396
"136";"60435000";"1978-09-13";1.3396
"137";"60435000";"1978-09-14";1.3396
"138";"60435000";"1978-09-15";1.3654
"139";"60435000";"1978-09-16";1.4176
"140";"60435000";"1978-09-17";1.4975
"141";"60435000";"1978-09-18";1.444
"142";"60435000";"1978-09-19";1.3914
"143";"60435000";"1978-09-20";1.3654
"144";"60435000";"1978-09-21";1.3141
"145";"60435000";"1978-09-22";1.2636
