"Cod_estacao"	"Data"	"Vazao"
"60436190"	"2006-11-01"	12.8365
"60436190"	"2006-11-02"	13.5749
"60436190"	"2006-11-03"	12.474
"60436190"	"2006-11-04"	15.3673
"60436190"	"2006-11-05"	13.5749
"60436190"	"2006-11-06"	13.5749
"60436190"	"2006-11-07"	16.9801
"60436190"	"2006-11-08"	81.2282
"60436190"	"2006-11-09"	20.2652
"60436190"	"2006-11-10"	18.3773
"60436190"	"2006-11-11"	17.8127
"60436190"	"2006-11-12"	15.499
"60436190"	"2006-11-13"	13.9508
"60436190"	"2006-11-14"	12.8365
"60436190"	"2006-11-15"	11.9978
"60436190"	"2006-11-16"	11.4139
"60436190"	"2006-11-17"	10.6179
"60436190"	"2006-11-18"	9.9555
"60436190"	"2006-11-19"	9.1015
"60436190"	"2006-11-20"	10.2844
"60436190"	"2006-11-21"	9.4179
"60436190"	"2006-11-22"	9.5244
"60436190"	"2006-11-23"	12.3542
"60436190"	"2006-11-24"	11.0697
"60436190"	"2006-11-25"	17.9531
"60436190"	"2006-11-26"	12.8365
"60436190"	"2006-11-27"	13.4506
"60436190"	"2006-11-28"	15.6312
"60436190"	"2006-11-29"	11.9978
"60436190"	"2006-11-30"	11.4139
"60436190"	"2006-12-01"	14.9751
"60436190"	"2006-12-02"	13.0806
"60436190"	"2006-12-03"	12.9583
"60436190"	"2006-12-04"	13.0806
"60436190"	"2006-12-05"	11.5297
"60436190"	"2006-12-06"	10.6179
"60436190"	"2006-12-07"	14.8453
"60436190"	"2006-12-08"	13.9508
"60436190"	"2006-12-09"	18.3773
"60436190"	"2006-12-10"	13.0806
"60436190"	"2006-12-11"	12.3542
"60436190"	"2006-12-12"	73.5236
"60436190"	"2006-12-13"	30.3517
"60436190"	"2006-12-14"	23.8003
"60436190"	"2006-12-15"	22.0788
"60436190"	"2006-12-16"	21.4667
"60436190"	"2006-12-17"	17.9531
"60436190"	"2006-12-18"	21.619
"60436190"	"2006-12-19"	26.0723
"60436190"	"2006-12-20"	19.2387
"60436190"	"2006-12-21"	51.9993
"60436190"	"2006-12-22"	17.8127
"60436190"	"2006-12-23"	17.5332
"60436190"	"2006-12-24"	15.7639
"60436190"	"2006-12-25"	14.5873
"60436190"	"2006-12-26"	18.0941
"60436190"	"2006-12-27"	14.7161
"60436190"	"2006-12-28"	15.1053
"60436190"	"2006-12-29"	14.9751
"60436190"	"2006-12-30"	16.5704
"60436190"	"2006-12-31"	14.8453
"60436190"	"2007-01-01"	58.421
"60436190"	"2007-01-02"	28.2623
"60436190"	"2007-01-03"	26.7379
