Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60435000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
60435000;1;01/03/2021;;1;1;5,084;2,034;3,22;1;31;1;1;1;;0;5,084;4,7;3,964;3,786;3,612;3,526;3,356;3,23;3,699;3,526;3,356;3,356;4,053;4,053;3,655;3,44;3,106;2,944;3,106;3,189;3,025;2,784;2,628;2,628;2,474;2,362;2,325;2,325;2,251;2,251;2,034;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/01/2021;;1;1;2,474;0,703;1,097;3;29;1;1;1;;0;0,882;0,856;2,474;1,074;0,909;0,856;0,909;0,856;1,249;1,131;1,433;1,496;1,895;1,249;1,56;1,625;1,249;1,19;1,19;1,018;0,909;0,909;0,83;0,804;0,804;0,909;0,804;0,804;0,703;0,728;0,703;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/12/2020;;1;1;1,86;0,703;1,084;13;3;1;1;1;;0;0,778;0,804;0,703;0,703;0,83;0,909;0,963;0,856;0,856;1,074;1,56;1,826;1,86;1,528;1,625;0,909;0,804;0,804;0,728;0,728;0,856;1,371;1,249;1,249;1,018;0,753;1,433;1,402;1,371;1,103;0,963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60435000;1;01/11/2020;;1;1;11,721;0,83;1,873;19;30;1;1;1;;0;1,018;1,249;1,691;1,496;1,279;1,131;1,19;1,625;1,625;1,371;1,249;1,625;1,249;1,249;1,496;1,19;2,325;2,399;11,721;3,025;4,143;2,034;1,56;1,34;1,131;1,074;1,046;0,963;0,856;0,83;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/10/2020;;1;1;2,399;0,453;0,855;24;10;1;1;1;;0;0,608;0,539;0,562;0,517;0,517;0,517;0,517;0,517;0,517;0,453;1,19;0,517;0,562;0,608;0,608;0,631;0,608;0,655;1,691;0,909;1,219;1,018;1,249;2,399;1,131;1,131;1,131;1,131;1,018;0,909;0,909;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/09/2020;;1;1;1,758;0,517;0,663;21;13;1;1;1;;0;0,728;0,703;0,703;0,703;0,703;0,679;0,679;0,608;0,608;0,608;0,608;0,608;0,517;0,517;0,517;0,517;0,517;0,517;0,517;0,539;1,758;0,728;0,804;0,804;0,728;0,703;0,655;0,585;0,517;0,517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
60435000;1;01/08/2020;;1;1;1,131;0,728;0,954;15;31;1;1;1;;0;1,046;0,963;1,018;1,018;1,018;1,018;1,018;1,074;1,103;1,103;1,103;1,103;1,103;1,103;1,131;0,963;0,909;0,909;0,909;0,909;0,909;0,856;0,856;0,856;0,83;0,83;0,83;0,83;0,778;0,753;0,728;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/07/2020;;1;1;1,592;1,074;1,334;1;31;1;1;1;;0;1,592;1,592;1,56;1,56;1,56;1,56;1,56;1,496;1,34;1,371;1,371;1,371;1,371;1,371;1,34;1,309;1,309;1,279;1,249;1,249;1,249;1,249;1,249;1,249;1,249;1,131;1,131;1,131;1,131;1,103;1,074;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/06/2020;;1;1;2,178;1,625;1,894;1;27;1;1;1;;0;2,178;2,178;2,178;2,178;2,142;2,106;2,178;2,034;1,999;1,999;1,999;1,929;1,86;1,964;1,929;1,86;1,826;1,86;1,826;1,826;1,792;1,724;1,724;1,724;1,658;1,658;1,625;1,625;1,625;1,625;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/05/2020;;1;1;3,612;2,325;2,841;1;30;1;1;1;;0;3,612;3,44;3,356;3,356;3,272;3,272;3,106;3,025;2,944;2,944;2,784;2,864;2,784;2,944;2,944;2,944;2,944;2,944;2,628;2,745;2,628;2,628;2,474;2,474;2,474;2,474;2,474;2,474;2,474;2,325;2,325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60435000;1;01/04/2020;;1;1;9,583;3,612;5,277;22;30;1;1;1;;0;4,512;4,28;4,143;3,875;4,143;3,919;4,053;4,419;7,824;5,133;5,182;6,722;5,379;5,379;4,419;4,747;4,795;9,281;6,298;5,035;6,246;9,583;7,599;6,246;5,182;4,465;4,143;3,919;3,786;3,612;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/03/2020;;1;1;16,813;3,935;7,221;26;18;1;1;1;;0;6,967;4,48;8,508;5,792;4,632;7,373;6,066;5,308;6,512;6,288;4,28;5,415;4,889;4,48;4,23;4,131;3,984;3,935;4,889;15,779;7,082;10,393;9,753;10,523;8,753;16,813;11,311;8,814;8,024;7,49;6,967;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/02/2020;;1;1;7,667;3,227;4,656;25;22;1;1;1;;0;3,6;3,412;3,506;3,79;3,506;5,792;6,967;6,739;6,853;5,415;4,43;4,993;4,53;4,28;3,79;4,28;4,23;3,79;3,984;3,6;3,412;3,227;3,319;5,415;7,667;5,738;4,28;4,683;5,792;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
60435000;1;01/01/2020;;1;1;16,664;2,025;5,021;27;2;1;1;1;;0;2,105;2,025;2,779;4,082;14,622;13,212;5,308;3,79;3,6;3,136;2,956;2,649;2,477;2,351;2,269;2,025;2,025;2,186;2,025;2,025;2,269;2,435;3,319;4,082;16,368;14,908;16,664;5,308;4,683;4,18;3,79;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
